devices,user_count
Asus Z008 ZenFone 2,834
Samsung GT-I8200N S III mini,834
Samsung GT-S7582 Trend Plus,834
Lenovo A859,831
Lava X28 Plus,830
Pioneer P2M,830
Xiaomi MI NOTE,825
Huawei LUA-L22 Y3II,820
Tecno i7,819
Panasonic T40,818
Sony G3226 Xperia XA1,816
Acer Z220 Liquid Z220,812
Lenovo X2-AP Vibe X2,811
Sony D2533 Xperia C3,809
BlackBerry BBC100-1 Aurora,805
Lava Atom 2 Iris Atom 2,805
Samsung SM-A320FL Galaxy A3 2017,804
Advan S4F,798
Lava A76,798
Micromax A290 Canvas Knight Cameo,797
Intex Aqua 4G+,794
Intex Aqua Lions 3G,793
Karbonn Titanium K9 Smart,790
Huawei TAG-L32 GR3,789
Samsung GT-S5282 Galaxy Star,789
LG D855 G3,788
Samsung SM-A320Y Galaxy A3 2017,787
Lava Iris Alfa L,786
Micromax A99 Canvas Xpress,786
Videocon V504730 Delite 21,783
Coolpad A118 Roar 3,781
OPPO CPH1607 R9s,779
InFocus M260,777
Sony D2203 Xperia E3,774
Coolpad 8297L-I00 F1,772
Google Pixel,772
Huawei SCL-L21 Y6,772
Lenovo TB3-730X Tab3 7,771
VOTO V2,771
Huawei NEM-L22 Honor 5C Dual SIM TD-LTE,769
Sony D6502 Xperia Z2,769
Lava iris 870,767
Mito A69 Fantasy 3,767
Samsung SM-T560 Galaxy Tab E,767
Lenovo A319,765
Dragon Touch A1 PLUS,762
Samsung GT-I8552B Galaxy Grand Quattro,759
Smartfren C46B2H Andromax Ec,758
SonyEricsson C6603 Xperia Z,758
HTC One X9 One X9,756
Intex Aqua Air,755
Intex Aqua Craze 2,755
Samsung SM-T113 Galaxy Tab 3 Lite,755
Sony C2004 Xperia M,755
Samsung SM-J100F Galaxy J1,754
Himax M20i H Classic,753
Samsung SM-A300F Galaxy A3,750
Sony F5122 Xperia X,749
Coolpad E580,748
Google Pixel 2,748
Samsung GT-I9505 Galaxy S IV,747
Huawei EVA-L19 P9 Standard Edition,744
Micromax AQ4502 Canvas A1,739
Panasonic T50,739
ZTE Z982 Blade Z Max,738
Micromax A096 Canvas Fire 3,735
Lenovo YT3-850M Yoga Tablet 3 8.0,731
Micromax Q336 Bolt,731
Huawei VTR-L09 P10,729
Samsung GT-S7580 Trend Plus,729
Xiaomi Redmi Pro,728
Intex Aqua Speed,727
Micromax Q411 Canvas Fire 4G,727
Samsung SM-A500H Galaxy A5 Duos,727
Samsung SM-G900A Galaxy S5,725
Infinix x551 Hot Note,723
Lava A97 2GB,723
Tecno M3,720
Huawei H30-U10 Honor 3C,719
iVoomi Me 1+,719
LG MP260 G6,719
Wiko JERRY,718
Intex Aqua Air II,717
Nokia X,717
Nokia X2DS X2 Dual Sim,717
Lava A59,716
Softbank SBM303SH Aquos Phone XX Mini,715
Xiaomi MI-3W,713
Acer T02 Liquid Z530,711
Google Nexus 6P,711
Intex Aqua Twist,707
Meizu M5 Note M5 Note,705
Karbonn K9 Smart Yuva,704
Coolpad E571 Fancy Pro,703
HTC One M7,695
ZTE Z981 ZMax Pro,694
Himax Pure 3S,689
Samsung SM-J510MN Galaxy J5 (2016),683
Samsung SM-G313H Galaxy Ace NXT,682
LeTV X509 Le 1S,681
Micromax Q300 Bolt Supreme,681
InFocus M350,678
Samsung SM-A300FU Galaxy A3,677
Evercoss A74A Winner T,676
Vivo X3S,676
Tiger S55,675
Samsung SM-N915G Galaxy Note Edge,674
Smartfren Andromax AD6B1H,674
Xiaomi Mi Pad 7.9,674
Gionee P4S Pioneer P4S,669
Evercoss M40,667
Huawei EVA-L09 P9 Standard Edition,662
Panasonic Eluga S,662
LG LGLS676 Tribute HD,661
Meizu M2 Note M2 Note,660
Intex Aqua Raze,659
Sony C6802 Xperia Z Ultra,659
ZXD X11,658
Gionee Pioneer P2,657
Lava Iris Atom 2,657
Huawei KIW-L21 Honor 5X,652
LYF LS-5005 Water 4,652
Xiaomi Mi 5C,647
Advan S4X,645
Huawei BAC-L21 Nova 2 Plus,644
Micromax Q371 Canvas Pep,644
Lenovo S90-A Sisley,643
Samsung SM-T110 Galaxy Tab 3 Lite,642
Himax M23i H3 Plus,636
Intex Aqua Super,636
Samsung SM-C9000 C9 pro,634
Samsung GT-N7105 Galaxy Note II,633
Samsung SM-C5000 Galaxy C5,632
Samsung SM-G5510 On5 Neo,631
Uniwa S12,631
SonyEricsson C6602 Xperia Z,630
Advan i45,626
Lava A89,626
LG H818 G4,626
Micromax Canvas Tab P702,626
Samsung SM-G928F Galaxy S6 Edge Plus,623
Xolo Era,622
InFocus M680,621
Intex Aqua Q7,621
Samsung SM-G850Y Galaxy Alpha,620
Samsung SM-G935A Galaxy S7 Edge,620
Asus X008D Pegasus 3,619
Micromax A069,616
OPPO R821 Find Muse,616
Advan i5,615
Polytron R2457,612
Micromax A109 Canvas XL2,611
Huawei CRO-U00 Y3 (2017),610
InFocus M430 Bingo 21,608
JHM X11,607
Google Pixel 2 XL,606
Huawei RIO-L01 G8,605
Samsung SM-N7505 Note 3 Neo Duos,604
ZTE NX541J nubia N1,604
Sony D5803 Xperia Z3 Compact,603
Samsung SM-G930T Galaxy S7,599
Zen Admire Swadesh+,599
Samsung SM-N910F Galaxy Note 4,597
Motorola XT1254 Droid Turbo,595
HTC Desire 728G Desire 728G dual sim,594
Huawei WAS-LX1 P10 Lite,594
LYF LS-5501 Earth 1,593
Samsung SM-A500FU Galaxy A5,593
Micromax Q469 Canvas Play 4G,591
Lava X28,589
Huawei BLL-L21 GR5 (2017),588
Intex Aqua A4 Plus,588
Lava A73,588
Videocon V502430 Krypton 3,588
Mito A360 Fantasy One A360,587
LG LG-H630D G4 Stylus,586
SonyEricsson X10 Xperia X10,586
Wiko Harry,586
Panasonic ELUGA Tapp,585
Samsung SM-N935L Galaxy Note FE,584
Samsung SM-G900V Galaxy S5,583
Symphony Xplorer H50,582
Panasonic T44,581
Samsung SM-J110F Galaxy J1 Ace,581
Sony G3312 Xperia L1,581
Sony F3111 Xperia XA,580
Intex Aqua Y2,579
Samsung SM-G130E Galaxy Young 2 Duos,579
Huawei MHA-L29 Mate 9,578
Micromax Q400 Canvas Blaze 4G,577
Intex Aqua Ace Mini,576
Samsung SM-G900I Galaxy S5,575
Xolo Black 1X,575
Micromax D320,574
Smartfren C46B2G Andromax Es,574
Samsung SM-J106F Galaxy J1 Mini Prime,573
Huawei VTR-L29 P10,571
Lenovo A328,570
OPPO CPH1715 A77,570
Gionee V4S Ctrl V4S,568
Samsung SM-G920V Galaxy S6,568
Infinix X510 Hot 2,567
Samsung SM-G5700 On5 2016,567
Huawei FRD-L09 Honor 8,566
Samsung SM-J510UN Galaxy J5 (2016),565
Sansui S455120 Horizon 1,565
Lava X46,564
Micromax A114 Canvas 2.2,564
Panasonic P55,563
Lenovo A3300,562
Samsung SM-G935V Galaxy S7 Edge,562
InFocus M425 Bingo 20,557
itel itl1516 Plus,557
Motorola XT1079 Moto G 4G (2nd Gen),557
Samsung SM-C7000 Galaxy C7,557
Intex Aqua Y4,553
LG K535 Stylus 2 Plus,553
Google Pixel XL,551
Panasonic P75,551
Wiko Lenny 2,551
Intex Aqua Star II,550
Lava Iris X5,550
HTC Desire 830 Dual Sim,549
Samsung SM-G930P Galaxy S7,549
HP 7 VoiceTab,548
Karbonn Aura 4G,547
Samsung SM-G361F Galaxy Core Prime,547
Xolo era_4G,547
Swipe Elite Power,546
Google GoogleTV,545
BML S50,544
Samsung SM-G930A Galaxy S7,544
Sony E5333 Xperia C4 Dual,543
Huawei H60-L04 Honor 6,542
Huawei KII-L22 GR5,542
Huawei TAG-L21 GR3,542
Polytron 4G501 Zap 6 Posh,542
Samsung GT-I9305 Galaxy S III,542
LG X240 K8,540
Sony G3121 Xperia XA1,540
Samsung SM-J530G J5 Pro,539
Samsung SM-T280 Galaxy Tab A 2016 7.0,539
Google Nexus 6,538
Karbonn TITANIUM S205 2GB,538
Intex Cloud 4G Star,534
OPPO 3001,534
Micromax A110Q Canvas 2 Plus,533
Google Nexus 5X,532
Evercoss B75A Winner Y3,531
Huawei CHM-TL00H Honor Play 4C,531
Sony E6683 Xperia Z5,529
Intex Aqua Star II 16 GB Aqua Star II,527
Zen Admire Swadesh,526
Xolo Cube 5.0 2GB,524
Advan S5E,521
Infinix X521 Hot S,521
Motorola XT1069 Moto G (2nd Gen),521
Karbonn S310 Machone Titanium,520
Micromax P290 Canvas Tab P290,520
LG H815 G4,519
LG H870DS G6,519
Samsung SM-J111M Galaxy J1 Ace,519
iOcean X9,517
Lenovo X3a40 Vibe X3,516
Intex Aqua S7,514
Advan S50G,513
Xiaomi Note 1LTEW Redmi Note 4G,513
Huawei Ascend P7 L10,512
Sony C2105 Xperia L,512
Micromax Bolt Q383,510
Micromax Q452 Spark 4G Prime,509
Samsung SM-T550 Galaxy Tab A 9.7,508
Samsung SM-G930W8 Galaxy S7,507
Advan Vandroid E1C Pro,505
Asus T00Q Zenfone 4S,505
Samsung GT-I9195 Galaxy S4 Mini,502
Acer A110 Iconia Tab A110,500
itel it1407,500
Karbonn K9 Viraat,499
Sony F3212 Xperia XA Ultra,499
Karbonn Aura Note 2,498
LG D325 Series III L70,498
LG LG-M320 X Power 2,498
Videocon V455120,498
Zen Admire Dragon,498
Polytron VG551 Zap 6 Posh Note,497
Samsung SM-A320F Galaxy A3 2017,497
LG H540 G4 Stylus,496
Smartfren S7 AndroTab S7,496
Lenovo K33 a48,494
Samsung SM-S727T1 Galaxy J7 (2017),494
Lava A3 Mini,493
Mito A82,491
Xolo One,490
Motorola XT1032 Moto G,489
Advan S4P,488
Samsung SM-J106M Galaxy J1 Mini Prime,487
Micromax A74 Canvas Fun,486
Intex Aqua 4.5 Pro,484
Evercoss U55,483
LG D331 L Bello,482
Sony D5102 Xperia T3,482
Huawei BKL-L09 Honor View10,480
Lenovo A850,480
Micromax Q4201,479
Panasonic Eluga I5,479
Amosta 3G5,478
Lenovo A7-20F Tab 2,478
Alcatel 5054T Pop 3 (5.5),476
Karbonn Aura,475
Evercoss A65B Winner X3,474
General Mobile GM 5 Plus d,474
HTC M9 One M9,471
Lenovo A3300-GV,471
Sony C1904 Xperia M,470
Gionee Elife E3,468
LG LG/D686/V1.0 G Pro Lite Dual,468
LG H990 V20,467
Samsung GT-I9190 Galaxy S4 Mini,467
Samsung SM-G800F Galaxy S5 mini,467
Micromax Q301,464
Samsung SM-N920T Galaxy Note 5,463
Sony E2353 Xperia M4 Aqua,463
Intex Aqua Ace II,462
Lenovo S650/S100,462
Samsung SM-G357FZ Ace Style,461
HTC One E9+,460
InFocus M500,455
Huawei NXT-L29 Mate 8,454
Intex Cloud Breeze,453
Sony G3416 Xperia XA1 Plus,453
Samsung J701M Galaxy J7 Nxt,452
Lava Pixel V2+,449
LG K130 K4,447
Acer T04 Liquid Z630S,446
Lenovo S60-a,445
Karbonn A41 Power,444
Lava X19,444
Samsung SM-G6000 Galaxy On7,444
HTC A9 One A9,443
HTC Desire 630 dual sim Desire 630,443
Intex Aqua Power 4G,442
Micromax Q324 Bolt,442
Xiaomi Mi MIX 2 Mi Mix 2,442
Samsung SM-G850F Galaxy Alpha,441
Videocon V503630 Delite 11,441
HTC E9s One E9 Dual Sim,440
Intex Aqua 3G Pro,440
Lenovo A6020136 Vibe K5,440
Samsung SM-S327VL Galaxy J3 2017,440
Samsung SM-T585 Galaxy Tab A 10.1,440
Micromax Q380N Canvas Spark,439
Advan S4A,436
Infinix X552 Zero 3,436
Micromax Q395 Canvas Amaze Q395,436
Samsung SM-N920I Galaxy Note 5,434
Motorola XT1080 Droid Ultra,431
Karbonn A6 Turbo,429
Xiaomi MI 6,429
Sony F3112 Xperia XA,428
Panasonic P81,427
Samsung SM-G530BT Galaxy Grand Prime,427
LG M153 Fortune,426
LYF LS-5007 Water 5,424
Int Box i7,423
LG K580,423
Sony F3311 Xperia E5,423
Intex aQUa COSTA,422
Sony C2104 Xperia L,422
Ziox Astral 4G,422
Hisense HS-L695 Pureshot +,421
Micromax A315 Canvas 4 Plus,420
Micromax Q331 Bolt Q331,419
OPPO N5111 N1 Mini,419
Fordex Group Gladiator,418
Intex Aqua Power,418
Motorola XT1650 Moto Z Droid,418
OPPO Neo R831,416
Asus K012 FonePad 7,415
Evercoss R40A Winner T Ultra,414
Intex Aqua Power II,414
Panasonic ELUGA Arc,414
Samsung SM-G920T Galaxy S6,414
Mito A230 Fantasy Fly,413
Infinix X600 LTE Note 2,412
Micromax A300 Canvas Gold,412
Samsung SM-G530FZ Galaxy Grand Prime,412
HTC Desire 820Q,411
Huawei KII-L21 GR5,411
Sony C5302 Xperia SP,411
Panasonic Eluga I,410
Samsung SM-A520W Galaxy A5 (2017),410
iBall Gorgeo 4GL Slide Gorgeo 4GL,409
Intex Aqua Shine 4G,409
Asus Z00UDH Zenfone Selfie,408
Samsung GT-I9515 Galaxy S IV,408
Himax Polymer 2,407
Asus Z002 ZenFone 6,406
LG H442 Spirit,406
Samsung SM-T211 Galaxy Tab 3 7.0 3G,406
Karbonn K9 Smart,405
Lenovo A7-10 Tab 2,404
HTC M8e One M8 Eye,402
Lava iris 758 4G,402
Micromax A093 Canvas Fire 3,401
Micromax YU5510 Yu Yureka Plus,398
Samsung SM-T705 Galaxy Tab S 10.5,398
Advan i7A,397
Symphony R100,397
Evercoss J4B JUMP T3 LITE,396
Micromax S300 Bolt,396
Advan Vandroid S5E S5E Pro,395
Lava iris 600,395
Samsung SM-T331 Galaxy Tab 4 8.0,395
Swipe Konnect Plus,395
Huawei ALE-L23 P8 Lite,394
Micromax A064 Bolt,394
Samsung SM-G920P Galaxy S6,394
Asus Z011D Zenfone 2 Laser,393
Lava iris758,393
Huawei MYA-L11 Nova Young 4G LTE,391
Samsung GT-N8000 Galaxy Note 10.1,391
LG K500 X Screen,390
Micromax Q335 Bolt,390
Symphony Xplorer P6 PRO,390
Huawei PRA-LX2 Nova Lite,389
Jiayu G3,389
Spice F301,389
Intex Aqua Wing,388
Intex Aqua Life II,387
Micromax A190 Canvas HD plus,387
Samsung GT-B5330 Galaxy Chat,387
Lenovo PB1-770M Phab Plus,386
Symphony Xplorer V85,386
Wiko ROBBY,385
LG H860 G5,384
Samsung SM-J5108 Galaxy J5 2016,381
Wiko LENNY3 Lenny 3,381
Samsung SM-G903F Galaxy S5 Neo,380
Samsung SM-G920W8 Galaxy S6,380
Sony G3311 Xperia L1,379
Micromax Q327 Unite 3,378
Panasonic T41,378
Mito A39,377
ZTE V9820 Power Phone 4G,377
Intex Aqua Xtreme II,376
Karbonn A6 Turbo 3G,376
Obi SF1 Worldphone SF1,376
Samsung GT-I9105P Galaxy SII Plus,375
Samsung SM-G925T Galaxy S6 Edge,375
Asus P01Y Zenpad,374
Micromax D303,374
Samsung SM-G928T Galaxy S6 Edge Plus,374
Celkon A89,371
Samsung GT-I9063T Galaxy Grand Neo,370
Symphony V110,369
Samsung SM-G550T1 On5,367
Samsung SM-G360P Galaxy Core Prime,365
Samsung GT-S5312 Galaxy Pocket Neo,364
Lava Iris 810,363
LG D802 G2,363
Acer A210,362
Acer T012,362
InFocus M460 Bingo 50,362
Lenovo TAB 2 A8-50LC TAB 2 A8-50,362
Samsung GT-N5100 Galaxy Note 8.0,361
Samsung SM-G950U1 Galaxy S8,361
Samsung SM-J510H Galaxy J5 (2016),361
HTC M9 Plus,360
Samsung SM-G935P Galaxy S7 Edge,360
HTC M7 One,359
Huawei MYA-U29 Y5,359
Xolo Omega 5.5,359
Panasonic Eluga Mark 2,357
InFocus M530,356
Sony E2303 Xperia M4 Aqua,356
Sony E6653 Xperia Z5,356
Motorola XT1572 Moto X Style/Pure,354
Samsung SM-G920A Galaxy S6,354
Symphony H300,354
HTC Desire 530 Desire 530,352
Spinup A3,352
Intex Cloud Jewel,350
Lenovo K33b36 Vibe K6,350
Samsung GT-I8160 Galaxy Ace 2,349
LG D410 L90 Dual D410,348
YU YU5200 Yureka S,347
Advan S50H,345
Intex Aqua 4G Strong,345
Samsung SM-G950W Galaxy S8,345
LG MP450 Stylo 3 Plus,343
Samsung SM-N915F Galaxy Note Edge,343
Huawei Che2-L11 Honor 4X,342
OPPO R815 Real,342
Smartfren Andromax G36C1G,342
Coolpad E501 Modena,341
Gionee Ctrl V5,341
Micromax A255 Canvas Selfie,341
Sansui S505024 Horizon 2 4G VoLTE,341
Ziox Astra NXT 4G,341
Intex Cloud String V2.0,340
Lenovo A606,340
Sony C1905 Xperia M,340
Ziox Astra Titan 4G,339
Intex Cloud S9,338
Lenovo TB3-850M,337
OPPO F1w,337
Panasonic P65,337
LGG X3,336
LYF LS-5006 Water 6,336
OPPO R8106 R5 4G LTE,336
Intex AQUA 4.0 4G,335
Samsung SM-N920V Galaxy Note 5,335
Lenovo A889,334
Samsung SM-G900T Galaxy S5,334
Acer Liquid Z330 LTE T01,333
LG TP260 K20 Plus,333
Samsung SM-J200M Galaxy J2 (2015),333
Videocon V451720 Graphite1,333
CityCall CT-88,332
Infinix X557 Lite HOT 4 Lite,332
Lenovo A850+ LePhone,332
Samsung SM-T113NU Galaxy Tab 3 Lite,331
Samsung SM-G360F Galaxy Core Prime,329
Huawei Honor 9 STF-L09,327
Micromax Q428 Canvas Fire 6,326
Advan S4A+,324
HTC E8 One E8,324
Infinix HOT 3 LTE,323
Polytron R2508,322
Sony F8332 Xperia XZ,322
Tecno K7,322
Panasonic Eluga Z,321
Spice Mi-506 Stellar Mettle Icon,321
Huawei CHC-U01 G Play Mini,320
Karbonn Sparkle V,319
Advan i4A,318
Huawei GRA-UL10 P8,317
Wiko U Pulse,317
Lava X1 Atom S,316
Evercoss A75G Winner Y2,315
itel S11 Plus,315
Lava A48,315
Condor PGN611 Allure A8,314
Micromax Q415,314
Samsung SM-J700T Galaxy J7 2015,314
Intel Aqua Joy,313
Micromax A77 Canvas Juice,313
Samsung SHV-E250S Galaxy Note II,313
Huawei TIT-U02 Y6 Pro,312
Xiaomi MI 5s,312
itel Wish A11,310
Huawei CAM-L03 Y6 II,309
Huawei Ascend Y625-U32,308
HTC Desire 10 Lifestyle,307
OPPO R829 R1,305
Advan S50f,304
Intex CLOUD TREAD,304
Datawind DW-UBT7DC*,302
iBall Andi 4P Class-X,302
Samsung SM-T531 Galaxy Tab 4 10.1,302
Condor PGN528 Plume P6 PRO Lte,301
Micromax Q333 Bolt Q333,301
Sony E2043 Xperia E4g Dual,301
Huawei BND-L21 Honor 7X,300
Samsung SM-T560NU Galaxy Tab E,300
Samsung SM-T815Y Galaxy Tab S2 9.7,300
Gionee Elife S5.5,299
Advan T1R,298
Infinix X559C HOT5 Lite,297
Samsung SM-G355M Galaxy Core II Duos,297
Samsung SM-J320A Galaxy J3 Duos,297
Evercoss AT7E,296
Micromax P70221 Canvas Tab,296
Samsung SM-E700F Galaxy E7,296
Gionee E7 mini Elife,295
Infinix X5010,295
Karbonn Titanium S202 Dazzle 2,295
Micromax A121 Canvas Elanza 2,295
Huawei MLA-L11 Nova Plus,294
Karbonn Quattro L50 HD,294
Vivo X5 Pro,294
Xolo A1010,294
Alcatel ONE TOUCH 7049D Pop C9,291
Panasonic ELUGA A,291
Samsung SM-S727VL Galaxy J7 (2017),291
Lenovo A3500-HV Tab A7-50,290
Samsung SM-G5520 On5 2016,290
Samsung SM-J200BT Galaxy J2 (2015),290
Lenovo K50-t5 K3 Note,289
Samsung GT-I9070 Galaxy S Advance,289
Samsung SM-G800H Galaxy S5 Mini,289
Smartfren AD688G Andromax C2,289
Symphony i50,289
Intex Aqua Freedom,288
Karbonn Titanium S201 Dazzle,288
Lenovo S930,288
LG LS777 Stylo 3,288
Samsung SM-N920F Galaxy Note 5,287
Lenovo A3000-H IdeaTab A3000-H,286
Huawei NMO-L31 Honor 5C 2GB RAM,285
Huawei SLA-L22 P8 Lite (2017),285
Samsung GT-I9105 Galaxy SII Plus,285
Panasonic P50 Idol,284
Samsung SM-N910V Galaxy Note 4,284
Intex Aqua_Sense_5_1,283
Samsung SM-T805 Galaxy Tab S 10.5,283
ZTE Z899VL,283
Softbank 305SH Aquos,282
Symphony i20,282
Intex Aqua Q7n Pro,281
Jiayu G5,281
Sony G3212 Xperia XA1,281
Vivo 1613 Y25,281
Samsung SM-J727V Galaxy J7 (2017),280
Intex Aqua Turbo 4G,278
Karbonn Aura Sleek 4G,278
Micromax Canvas A1,278
Samsung SM-G900FD Galaxy S5,278
iBall Slide D7061,277
InFocus M808,277
Lava Fuel 60 Iris Fuel 60,277
Samsung GT-I8190N Galaxy S III Mini,277
Sony D2105 Xperia E1 Dual (Falcon DS),277
Intex Cloud Q11,276
Intex Cloud Swift,275
Micromax P680 Canvas Tab P680,275
Micromax Q370 Canvas Pep,275
Xolo Omega 5.0,275
Zen Admire Thrill,275
Advan i5A,274
Intex Aqua View,274
Micromax A092 Unite A092,274
Micromax Q348 Canvas Selfie 3,273
Samsung SM-G891A Galaxy S7 Active,273
Lava Grand2,272
Huawei SCC-U21 Honor Y6,270
Sony SO-03F Xperia Z2 SO-03F for DoCoMo,270
Zen Admire Glory+,270
Asus X008DDB Zenfone 3 Max,269
iVoomi Me 4,269
Samsung SM-G935W8 Galaxy S7 Edge,269
VOYO X7,268
Micromax A316 Canvas Hue 2,267
Samsung SM-G531BT Galaxy Grand Prime,267
Google Nexus 4,266
Lenovo TB-X304F Tab4 10,266
Micromax A116 Canvas HD,266
Intex Aqua 7N,265
Intex Cloud String HD,265
Gionee Elife S5.1 Ultra Slim,264
Samsung SM-T230 Galaxy Tab 4 7.0,264
Huawei CHe2-UL00 Honor Play 4X,263
itel S11,263
Micromax D321,263
Xolo Q1010i,263
OPPO R7Plusf R7 Plus,262
Samsung SM-N920P Galaxy Note 5,262
Sony Xperia Z3,262
Swipe Konnect Grand,262
Symphony H400,262
Evercoss A7R,261
Samsung SM-G901F Galaxy S5,261
Samsung SM-N910A Galaxy Note 4,260
Coolpad R106 Shine,259
Samsung SM-N910S Galaxy Note 4,259
ZTE Blade V0720 Blate V7 Lite,259
OPPO X9006 Find 7a,258
Condor PGN610 Plume P8 Lite,257
HTC Desire 516,257
Google Nexus 7,256
Lava X1 Lava Iris X1 Beats,255
Samsung SM-J327T Galaxy J3 2017,255
Sony D2303 Xperia M2,255
Evercoss A66A Elevate Y,254
Sony F5121 Xperia X,254
Huawei VNS-L23 P9 Lite Dual SIM LTE,253
Motorola XT1585 Droid Turbo 2,253
Alcatel 5056 Pop 4+,252
Samsung SM-G9350 Galaxy S7 Edge,252
Samsung SM-J710FQ Galaxy J7 (2016),252
Samsung SM-T555 Galaxy Tab A 9.7,251
Huawei Y560-U02 Ascend Y560,250
Lava Iris 504q plus,250
Asus X00DDA Zenfone 3 Max,249
Evercoss A74E Winner T +,249
LG LG-M150 Phoenix 3,249
Motorola XT1635-01 Moto Z Play,249
OPPO R8201 R1x,249
Samsung SM-G955W Galaxy S8+,249
Samsung SM-N920A Galaxy Note 5,249
Alcatel FL02 Flash Plus 2,248
Intex Aqua Lite,248
Samsung SM-A9000 Galaxy A9,248
Samsung SM-T230NU Galaxy Tab 4 7.0,248
Ziox Astra Colors 4G,248
Samsung GT-P5100 Galaxy Tab 2 10.1,247
HTC Desire Desire Eye,246
Micromax A350 Canvas Knight,246
Samsung GT-S6312 Galaxy Young,246
Samsung SM-G360G Galaxy Core Prime,246
OnePlus RAIN A3000 3,245
Xolo Q900S Plus,245
Lenovo A1010a20 A Plus,244
Meizu M5S,244
Fujitsu F-03F Disney Mobile on docomo F-03F for DoCoMo,243
Huawei VKY-L29 P10 Plus,243
Infinix X537 Note 3 Pro,243
OnePlus A3010 3T,243
Sony Xperia D6633 Xperia Z3 Dual,243
Symphony H60,243
Advan Vandroid S5E S5E New,241
LG MS330 K7,241
LG X160 Max,241
Huawei MYA-L41 Y6 2017,240
Samsung SCH i545 Galaxy S4,240
Sony E6883 Xperia Z5 Premium,240
Axioo PICOphone M2/M,239
Xiaomi MI 3W,239
Samsung SM-J327V Galaxy J3 2017,238
Samsung SM-T715Y Galaxy Tab S2 8.0,238
HTC One ME,237
Huawei GRA-L09 P8,237
Samsung SM-G900W8 Galaxy S5,237
Samsung SM-N900V Galaxy Note 3,237
Huawei BLA-L29 Mate 10 Pro,236
Intex Aqua Speed HD,236
Sony D2403 Xperia M2 Aqua,235
Huawei NEM-L21 Honor 5c 2GB RAM,234
Lenovo p780,234
Sony E5533 C5 Ultra,234
Advan S4M,233
Samsung SM-C7010 Galaxy C7,233
Symphony xplorer V80,233
Sony D2305 Xperia M2,232
Huawei BGO-DL09 MediaPad T2 7.0,231
Huawei TRT-LX1 Nova Lite Plus,231
JXD S18,231
Samsung SM-J120A Galaxy J1 2016,231
Intex Aqua Power M,230
Micromax AQ5000 Canvas Hue,230
Intex Aqua Ring,229
Lava V5 M,229
Sony F8331 Xperia XZ,229
CAT S50C,228
InnJoo i1S,228
Sony F3115 Xperia XA,228
LG VS501 K20 V,227
Micromax Q375 Canvas Fire 3,227
Spice Mi-498 Dream Uno,227
Samsung SM-G903W Galaxy S5 Neo,226
Samsung SM-P585Y Galaxy Tab A 10.1 2016,226
Wiko Jerry 2,226
Alcatel Onetouch Flash Plus,225
i-mobile IQ II,225
Samsung SM-N910T Galaxy Note 4,225
Symphony i21,225
Acer Liquid Z500,224
LG D722 G3 Mini,224
Coolpad E561 Fancy E561,223
Samsung SM-N910U Galaxy Note 4,223
Samsung SM-T116 Galaxy Tab 3V 3G,223
Samsung SM-T210 Galaxy Tab 3 7.0,223
Samsung SGH-I337M Galaxy S4,221
Sharp SH-01F AQUOS PHONE ZETA SH-01F for DoCoMo,221
Micromax P802 Canas Tab P802 4G,220
Micromax Q354,220
Huawei LYO-L21 Honor 5A,219
LG D337 L Prime,219
Motorola XT1789-05 Moto Z2 Force,219
Sony G8142 Xperia XZ Premium,219
HTC 10 10,218
Intex Y2 Aqua Y2 Ultra,218
Motorola XT1609 Moto G4 Play,218
Vivo Y22,218
Wileyfox Swift 2,218
Cherry Mobile H120 Omega,217
Karbonn Titanium Moghul,217
Samsung I9506 Galaxy S4,217
Samsung SM-G955N Galaxy S8+,217
Samsung SM-J320V Galaxy J3 Duos,217
ZTE Z983 Blade X Max,217
Polytron 4G502 Zap 6 Power,216
Samsung SM-G935U Galaxy S7 Edge,216
Xgody S11,216
Lenovo A316i,215
Micromax Q332 Bolt Q332,215
Samsung GT-I8190L Galaxy S III Mini,215
Sharp 304SH Aquos Xx,215
Coolpad A116,213
Hisense EG98 Andromax U2,213
Intex AquaSense5.0,213
Symphony V49,213
Coolpad E560,212
HTC 616 HTC Desire 616 Dual Sim,211
Infinix Zero 4,211
Intex Aqua Star II HD,211
LG K-200 X Style,211
LG K120 Spree,211
LG VS425PP Optimus Zone 3,211
Lenovo A2016b30 Vibe B,210
Mito A260 Fantasy Mini,210
Motorola XT1092 Moto X (2nd Gen),210
Samsung SM-G750A Galaxy Mega 2,210
Evercoss A74C,209
Lava V5,209
Motorola Moto X Play,209
Samsung SM-G900M Galaxy S5,209
Samsung SM-G900P Galaxy S5,209
XTOUCH X1 mini,209
Cubot X12,208
Huawei TRT-AL00 Enjoy 7 Plus,208
InFocus M330,207
Intex Aqua Play Aqua Play,207
Intex Cloud Force,207
Huawei Y520-U22 Ascend Y520,206
Huawei Y635-L21,206
LG LGLS775 Stylo 2,206
Sony D5303 Xperia T2 Ultra,206
Asus K016 Fonepad 8,205
Asus X008DB Zenfone 3 Max,205
M-tech Turbo L9,205
OPPO R7f,205
Samsung GT-I9060C Galaxy Grand Neo,205
Lenovo S860,204
Mito A550,204
Intex Aqua Pride,203
Samsung SM-T825Y Galaxy Tab S3 9.7,203
Sharp Aquos SBM302SH,203
Celkon Q599 Milenia Q500 Ufeel,202
itel it1410 PowerPro,202
